sample,task,pipeline,score,valid_json
science_brain,summarization,C_qwen_transcript,0.4482758620689655,
science_brain,summarization,D_qwen_direct,0.6769230769230768,
science_brain,sentiment,C_qwen_transcript,1.0,1.0
science_brain,sentiment,D_qwen_direct,1.0,1.0
science_brain,keywords,C_qwen_transcript,0.42857142857142855,1.0
science_brain,keywords,D_qwen_direct,0.6153846153846153,1.0
science_brain,intent,C_qwen_transcript,1.0,1.0
science_brain,intent,D_qwen_direct,1.0,1.0
science_brain,summarization,B_whisper_cascade,0.4482758620689655,
science_climate,summarization,C_qwen_transcript,0.3287671232876712,
science_climate,summarization,D_qwen_direct,0.3943661971830986,
science_climate,sentiment,C_qwen_transcript,1.0,1.0
science_climate,sentiment,D_qwen_direct,0.0,1.0
science_climate,keywords,C_qwen_transcript,0.28571428571428575,1.0
science_climate,keywords,D_qwen_direct,0.2222222222222222,1.0
science_climate,intent,C_qwen_transcript,1.0,1.0
science_climate,intent,D_qwen_direct,0.0,1.0
science_climate,summarization,B_whisper_cascade,0.35135135135135126,
science_crispr,summarization,C_qwen_transcript,0.6206896551724139,
science_crispr,summarization,D_qwen_direct,0.5079365079365079,
science_crispr,sentiment,C_qwen_transcript,1.0,1.0
science_crispr,sentiment,D_qwen_direct,0.0,1.0
science_crispr,keywords,C_qwen_transcript,0.5333333333333333,1.0
science_crispr,keywords,D_qwen_direct,0.42857142857142855,1.0
science_crispr,intent,C_qwen_transcript,1.0,1.0
science_crispr,intent,D_qwen_direct,1.0,1.0
science_crispr,summarization,B_whisper_cascade,0.5333333333333333,
science_space,summarization,C_qwen_transcript,0.27027027027027023,
science_space,summarization,D_qwen_direct,0.6027397260273972,
science_space,sentiment,C_qwen_transcript,1.0,1.0
science_space,sentiment,D_qwen_direct,1.0,1.0
science_space,keywords,C_qwen_transcript,0.5,1.0
science_space,keywords,D_qwen_direct,0.4615384615384615,1.0
science_space,intent,C_qwen_transcript,1.0,1.0
science_space,intent,D_qwen_direct,1.0,1.0
science_space,summarization,B_whisper_cascade,0.43076923076923074,
tech_ai_healthcare,summarization,C_qwen_transcript,0.3243243243243244,
tech_ai_healthcare,summarization,D_qwen_direct,0.43076923076923074,
tech_ai_healthcare,sentiment,C_qwen_transcript,1.0,1.0
tech_ai_healthcare,sentiment,D_qwen_direct,1.0,1.0
tech_ai_healthcare,keywords,C_qwen_transcript,0.125,1.0
tech_ai_healthcare,keywords,D_qwen_direct,0.0,1.0
tech_ai_healthcare,intent,C_qwen_transcript,1.0,1.0
tech_ai_healthcare,intent,D_qwen_direct,1.0,1.0
tech_ai_healthcare,summarization,B_whisper_cascade,0.29729729729729726,
tech_blockchain,summarization,C_qwen_transcript,0.3666666666666667,
tech_blockchain,summarization,D_qwen_direct,0.43478260869565216,
tech_blockchain,sentiment,C_qwen_transcript,0.0,1.0
tech_blockchain,sentiment,D_qwen_direct,1.0,1.0
tech_blockchain,keywords,C_qwen_transcript,0.15384615384615383,1.0
tech_blockchain,keywords,D_qwen_direct,0.0,1.0
tech_blockchain,intent,C_qwen_transcript,1.0,1.0
tech_blockchain,intent,D_qwen_direct,1.0,1.0
tech_blockchain,summarization,B_whisper_cascade,0.33333333333333337,
tech_education,summarization,C_qwen_transcript,0.26865671641791045,
tech_education,summarization,D_qwen_direct,0.23255813953488372,
tech_education,sentiment,C_qwen_transcript,1.0,1.0
tech_education,sentiment,D_qwen_direct,0.0,1.0
tech_education,keywords,C_qwen_transcript,0.42857142857142855,1.0
tech_education,keywords,D_qwen_direct,0.30769230769230765,1.0
tech_education,intent,C_qwen_transcript,0.0,1.0
tech_education,intent,D_qwen_direct,1.0,1.0
tech_education,summarization,B_whisper_cascade,0.3076923076923077,
tech_quantum,summarization,C_qwen_transcript,0.4242424242424242,
tech_quantum,summarization,D_qwen_direct,0.39999999999999997,
tech_quantum,sentiment,C_qwen_transcript,0.0,1.0
tech_quantum,sentiment,D_qwen_direct,1.0,1.0
tech_quantum,keywords,C_qwen_transcript,0.5,1.0
tech_quantum,keywords,D_qwen_direct,0.6666666666666665,1.0
tech_quantum,intent,C_qwen_transcript,1.0,1.0
tech_quantum,intent,D_qwen_direct,1.0,1.0
tech_quantum,summarization,B_whisper_cascade,0.4745762711864407,
