sample,task,pipeline,score,valid_json,source
deep_sea,summarization,A_oracle,0.3947,,supplied A/B score file
deep_sea,summarization,B_whisper_cascade,0.3544,,supplied A/B score file
deep_sea,summarization,C_qwen_transcript,0.37837837837837845,,recomputed from raw output
deep_sea,summarization,D_qwen_direct,0.16,,recomputed from raw output
deep_sea,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
deep_sea,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
deep_sea,keywords,C_qwen_transcript,0.0,1.0,recomputed from raw output
deep_sea,keywords,D_qwen_direct,0.2857142857142857,1.0,recomputed from raw output
deep_sea,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
deep_sea,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
language_acquisition,summarization,A_oracle,0.4407,,supplied A/B score file
language_acquisition,summarization,B_whisper_cascade,0.3438,,supplied A/B score file
language_acquisition,summarization,C_qwen_transcript,0.4406779661016949,,recomputed from raw output
language_acquisition,summarization,D_qwen_direct,0.48148148148148157,,recomputed from raw output
language_acquisition,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
language_acquisition,sentiment,D_qwen_direct,0.0,1.0,recomputed from raw output
language_acquisition,keywords,C_qwen_transcript,0.5,1.0,recomputed from raw output
language_acquisition,keywords,D_qwen_direct,0.5714285714285714,1.0,recomputed from raw output
language_acquisition,intent,C_qwen_transcript,1.0,1.0,recomputed from raw output
language_acquisition,intent,D_qwen_direct,0.0,1.0,recomputed from raw output
memory_formation,summarization,A_oracle,0.2985,,supplied A/B score file
memory_formation,summarization,B_whisper_cascade,0.2985,,supplied A/B score file
memory_formation,summarization,C_qwen_transcript,0.28125,,recomputed from raw output
memory_formation,summarization,D_qwen_direct,0.22857142857142854,,recomputed from raw output
memory_formation,sentiment,C_qwen_transcript,1.0,1.0,recomputed from raw output
memory_formation,sentiment,D_qwen_direct,1.0,1.0,recomputed from raw output
memory_formation,keywords,C_qwen_transcript,0.23529411764705882,1.0,recomputed from raw output
